id,author,date,sentiment,compound,text,url
rf-8909148495477093177,Unknown,,positive,0.3612,got me giggling and kicking my feet the whole time,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-7590660724904250352,Unknown,,negative,-0.7906,propaganda i’m falling for: men are the real villains,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--3914169275575463175,Unknown,,positive,0.6973,"LETZGO TWICEEE !!!! 
Jeongyeon said this was a realistic representation of idols daw. I am positive she’s referring to her beef with jimin",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--3324978476173575691,Unknown,,positive,0.1154,this film makes me wanna listen to k-pop but i feel like once i do there will be no going back,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf-9215389922905983673,Unknown,,neutral,0.0000,"Rumi, crank that Saja boy.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--5752177232751610960,Unknown,,positive,0.2960,the most unrealistic part of this is that a gg stan wld flip to a bg stan,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf-1150644495054948349,Unknown,,positive,0.8716,"And to think SINNERS was the only culturally-significant supernatural genre musical this year! I’m a Huntrix stan now. Would lay my heart for Rumi, Mira, and Zoey. Would slay demons for my K-Powerpuff girls.

Every song in this completely clears the entire Best Original Song category of last year. No reason for it to go this hard.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--5543591091833889676,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--3015350813975727882,Unknown,,neutral,0.0000,of course the demons are in a boygroup,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--2195896453684349928,Unknown,,negative,-0.5994,This shit fire on god,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--6526467425857044385,Unknown,,neutral,0.0000,I did NOT think there would be a fucking BUSINESS PROPOSAL reference.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf-297546289311019831,Unknown,,neutral,0.0000,what are we some kind of kpop demon hunters?,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf--3404817653533150108,Unknown,,neutral,0.0000,and stan twt would still defend the saja boys,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/3/
rf-7978405661196597174,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf--5740194391924678919,Unknown,,positive,0.9749,"Saw an early screening of KPOP DEMON HUNTERS and came out PUMPED. It is basically Sailor Moon meets Buffy the Vampire Slayer, but make it K-pop. Sony Animation is on-a-roll. You have funny, badass and messy young women who can sing, dance and also protect people from soul-consuming demons. Add on a very hot demon boy bands and some enemies to lovers trope...it's chef's kiss! The animation is gorgeous, the songs slap and in some cases an adrenaline rush. I'll be playing it on repeat on Spotify for sure.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf--3922482337115940425,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf--7130098044345093406,Unknown,,negative,-0.8020,"I can understand Rumi’s shame, I’ve got a DoodleBob tattoo which is arguably worse",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf--8722849230405373102,Unknown,,neutral,0.0000,need to see huntrix on the inkigayo stairs,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf-5974500738849192522,Unknown,,negative,-0.4576,"This is the same studio behind Open Season y’all 
Open fucking Season 
the Sony redemption arc will go down in history, absolutely insane",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf-7863737986361525654,Unknown,,negative,-0.7579,painfully relatable representation for zoe(y)s who would be helplessly obsessed with a boy even after discovering he’s a literal demon,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf-3774549805225300869,Unknown,,positive,0.6369,oh the gays and the girlies are gonna love this (i know i did),https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf-6611554905063069689,Unknown,,positive,0.5574,"Animation + Song 10/10
Half the things in the movie made 0 sense.
The romance subplot was so rushed and led nowhere.
So much tell, don't show, especially that roof scene.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf-4197843451560149750,Unknown,,positive,0.7645,I am genuinely very glad everyone is having fun,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf--3234317010448823732,Unknown,,positive,0.8020,"got a free large popcorn from amc because it’s my birthday month and ate it while learning about the power of music and friendship
sometimes you work your whole life for a dream and sometimes…it pops up on a sunday night at the amc burbank 16. stay golden kpop demon hunters🙏",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/4/
rf-9088969088937935413,Unknown,,positive,0.6570,"MY VOICE WITHOUT THE LIES, THIS IS WHAT IT SOUNDS LIKE!!!!!!🗣️🗣️😫🎶",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--1376243786096789648,Unknown,,positive,0.4404,"oh … 
i can’t even write a funny review bc i think i just found my new personality and hyper fixation for the next month",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--4548463886206799592,Unknown,,neutral,0.0000,Spectacular give me 14 of these right now,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--4213965431763872090,Unknown,,neutral,0.0000,Chad girlsband VS Virgin boysband,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf-3876027387300219695,Unknown,,negative,-0.7950,"Oh gosh.
This was bad, but like VERY BAD not Just stereotypical bad, like HORRIBLE WRITTEN.
It felt like watching a tik tok long 1 hours and 45 minutes.
The characters are none existential , everything it's so fast , undeveloped and randomic, there is no real emotion behind, no connection.
At least the characters design and the animation were really good , which Is a pity since there is no strong story to support them .
Tik tok the… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf-9115444231105251721,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--2900127976869733109,Unknown,,neutral,0.0000,so this is what bts were doing while on hiatus,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf-8632583520950504947,Unknown,,negative,-0.2500,is anyone else concerned that the plot of this movie is basically just MC Pee Pants' master plan from Aqua Teen Hunger Force?,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf-3663259265050057229,Unknown,,positive,0.5423,"Wow, sorry, I was not familiar with your game.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--4938498722864834974,Unknown,,positive,0.8271,The Academy has a chance to do something amazing I hope they don’t blow it,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--1597799933112411808,Unknown,,positive,0.9878,"Never been a big fan of K-Pop, but the second this movie got announced, I knew I needed to see it. 
Sony Animation really just casually dropping bangers, this was such a great movie! Stating the obvious the animation is beautiful and full of color and life! All the characters have such great chemistry with each other and are very fun to watch. The songs are all amazing and catchy as hell, and lead for some great emotional moments that… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/5/
rf--1564962518517337916,Unknown,,neutral,0.0000,"is the doctors eyes ok, why'd they do that.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--4626789492132030822,Unknown,,positive,0.7778,Extremely fun in a theater full of enthusiastic kids. Put movies in theaters for god’s sake.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--1938407777799102966,Unknown,,positive,0.8358,"i can’t stop singing these songs SEND HELP. the chokehold “free” has on me will be studied for generations to come
speaking of, i’ve been playing the music when my sisters in my car so i convinced her to spend the night tonight and watch this. hour and a half later, some tears some laughs, we’re sitting in the same room sending eachother memes and tiktoks about the movie. UGHH spielberg your crown is tipping !!",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--984195525456238284,Unknown,,positive,0.7749,"Face cards lethal, bodies so tea, music and choreo slap, friendship so chaotic and dramatically cute, and animation so good.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--2190008079537398285,Unknown,,positive,0.9535,"Really charming and beautifully boarded. I liked it!
Also taught me that apparently some k-pop bands have one member who raps. I didn't know about that. Sort of like how a lot of nu-metal bands used to have. I find that beautiful. How universal the rapping guy is.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf-3099633371269852340,Unknown,,positive,0.4927,Hey guys have you heard this song called “Golden” it’s really good,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--2892212337317149487,Unknown,,positive,0.4215,I liked the Marcy from Peanuts cameo,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--7666639327127643473,Unknown,,negative,-0.5994,The way Twitter was talking about this would’ve had you think it was either this year’s Spider-Verse or a method of torture,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--4186079737181114651,Unknown,,positive,0.3182,watched this to be ironic and then ended up with full body chills lol is this how men feel when they watch the godfather?,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--6647684866583918414,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf-2451131375341698985,Unknown,,negative,-0.4824,"Sinners 🤝 Kpop Demon Hunters
The music was FIRE",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/6/
rf--6724651600038531244,Unknown,,negative,-0.2960,no skips in the ost,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf--5549287018617705826,Unknown,,negative,-0.8655,"fucking sinister how it invisibles all production labour behind k-pop spectacles, has insane lookism issues, spiritualises and orientalises k-pop hypercapitalism and represents fans as mindless manipulated masses?? i know this is supposed to be a fun kids movie and isn't supposed to be subjected to materialist critique but like dude. this movie has really weird moral frameworks about who deserves to be redeemed and who doesn't and it's so uncritically girlboss VAIN it makes me feel crazy.
just read the wicked + the divine instead fr",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf--7661046951728446151,Unknown,,neutral,0.0000,Gimme the kitty,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf-5596151653877474814,Unknown,,neutral,0.0000,They literally did Blackpink vs BTS thing,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf-7048881785183152249,Unknown,,negative,-0.2047,"so if the mom fucked a demon does that mean i can too or
if not ill take bobby no problem.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf-1111203191636326797,Unknown,,positive,0.4019,Sat in front of my daughter and her closest pals at Vidiots and they sang along to every song. Interesting way to watch a film.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf--5581281221786388344,Unknown,,positive,0.9353,"Remember back when Sony was like, a joke? Constantly churning out mediocrity with an occasionally great film like Cloudy or Surfs Up, focusing on franchises like Hotel Transylvania and Open Season that don’t offer much, making that one movie that’s very easy to hate on, they couldn’t be more of a joke. Then Into The Spider-Verse came out and changed everything. Literally. Suddenly the studio began to release more and more quality films, films that push what’s capable in mainstream… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf--6357621510441384118,Unknown,,positive,0.9421,"A lot of my friends were hyping this movie up, and I was honestly a bit curious about it. Went in completely blind too, so I didn’t know what to expect! Unfortunately… I really didn’t care for this movie.
KPop Demon Hunters isn’t a terrible movie by any means, but to me, it was just a whole lot of nothing. It shines in its first 10 minutes with a pretty cool action sequence and a fun introduction to our characters.… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf--1413286468481665107,Unknown,,positive,0.8832,"demon hunter k-pop idols? fuck yeah! okay this was a blast. colorful bright animation, fun voice work & a banger soundtrack.. I love",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf-2532823842096152910,Unknown,,positive,0.3804,Very cool by how it’s mixed with Sinners and K-Pop,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/7/
rf--8323047754114920961,Unknown,,positive,0.7971,"Let’s get one thing straight: I’m not an avid K-pop listener. So naturally I sorta rolled my eyes and went along with it when my girlfriend asked me to watch this movie with her.
Dude, I’m a K-pop fan now. There wasn’t a single song that didn’t slap and I’m definitely adding them to my playlists. I’d say my taste in music is diverse, I like all eras of hip hop, synthpop, experimental, rock, anything that isn’t Benson Boone or… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--5271173692158953072,Unknown,,positive,0.6222,One of those most demonically clever high concepts I’ve seen in years. My daughter is obsessed. She asked how she can be a KPop star who hunts demons. I get it. I’d like to do that when I grow up too.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--2346925495150867637,Unknown,,negative,-0.6428,me 10 years ago would have made this shit my whole personality,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf-853952499819891281,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf-2067056227649954444,Unknown,,positive,0.3384,"73
Stellar mix of eye-searing animation and earworm musical cuts. Extremely fun movie. Did the songwriters put actual crack in 'Golden'? I think they did.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--968424864347985458,Unknown,,positive,0.8830,"Really enjoyed. The world needs more original musicals. Savan who I made Sapphire with put this soundtrack out on his label and is having a great moment, so big up him and big up this movie",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--1524408111213872645,Unknown,,positive,0.4005,Those demon boys are going to make some tweens realize some things about themselves and I'm very excited for them,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--7795556165607672966,Unknown,,neutral,0.0000,"they said: we sing, we slay, we serve.
rumi, zoey and mira are literally the avengers of the kpop universe.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf-8137058426351185869,Unknown,,positive,0.5423,Literally haram music lmfao.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf-3711350907223427622,Unknown,,positive,0.3400,The fandom name of the Saja Boys being ‘The Pride’ really puts the demon in pride month,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--5734055436841631910,Unknown,,positive,0.9714,"Cool climax but could never be Welcome to the Show from Rainbow Rocks
This is one of those titles that make me you think 'that might as well be a real movie', but this also ended up actually pretty good. Maybe I might finally agree that Sony Pictures Animation is now making good stuff with this and how one of the directors previously did the underrated Wish Dragon. It just makes a cool action movie that manages to actually take… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--5634032442987137649,Unknown,,positive,0.8807,"my older sister love it and she used to make fun of me for liking kpop, oh how to tables have turned",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/8/
rf--6333794985042020472,Unknown,,positive,0.8720,"Forgetting about the music, which I couldn’t care less about, the film was still enjoyable. Action scenes were well choreographed, character moments landed, and the visual style was interesting enough.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--4005841086324079347,Unknown,,positive,0.4753,"only mira can rock a sleeping bag at the met gala, it’s true!",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--677766047918690904,Unknown,,positive,0.9706,"This is AWESOME.
So vibrant and alive. Sony Animation’s action sequences always look killer and the way this incorporates music into the fights looks incredible, offering a really fun language to translate these fights through. Got a bit weepy at the end because it does such a good job at constructing its central characters’ friendships with one another. Lots of great ideas and character designs and stylistic choices that all come together to make something satisfying and really, really delightful to experience.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--2777897920776943292,Unknown,,neutral,0.0000,such a banger,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf-5698485349235972280,Unknown,,neutral,0.0000,an old part of me got healed,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--5038865896752432529,Unknown,,negative,-0.4023,never trust a kpop boy group,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--2559348517462174934,Unknown,,positive,0.7876,The film itself was whatever but I opened up Twitter during this movie and saw a Charlie Kirk-ified image of the Kpop boy band characters and i think that sums up my viewing experience pretty well.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf-927833099952824694,Unknown,,positive,0.4101,"THIS ATE SO HARD??? The outfits, the hair, the choreography, the songs, the enemies to lovers, the stakes, the insistence of having radical hope rather than succumbing to the darkness of your thoughts... Wow",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--4139262277217188572,Unknown,,positive,0.3382,oh my god!,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf-939180427838758916,Unknown,,positive,0.6486,when they played strategy by twice 12 minutes in i knew it'd be a new fave,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/9/
rf--435614552318925571,Unknown,,positive,0.9822,"Omg I loved this way more than I should have!
It’s literally a mix of Turning Red, Powerpuff Girls & Totally Spies into one. Beautiful animation combined with lovely action sequences & comedic moments. It all flowed so well for a musical action coming of age fantasy movie lol.
The music was so good but I love K-pop anyway so it definitely felt they did it justice. The last song I’m going to be adding to my playlist! 
A lot of coming… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf-8235452964122746643,Unknown,,positive,0.6841,I absolutely love how the movie doesn't shy away from making the main trio cringy and awkward and goofy. It makes them feel that much more real,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--8367020565524184389,Unknown,,positive,0.9272,"RESEÑA EN ESPAÑOL
ACTION! - THE SOUTH REMAINS
You never know what thing will become viral and a major success. I don’t think anyone—not Netflix, nor the team behind the film—was expecting for this to become such a hit. One of the most hyped films of the year.
And you got to give credit to the film, whether you like it or not; in a time where it seems we don’t get much original and creative content, this was a… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf-788926837775888714,Unknown,,negative,-0.5267,"sometimes it’s just you, your secret hot demon situationship, and his silly ass blue tiger and a sassy six-eyed magpie against the world",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--7030198003543674308,Unknown,,neutral,0.0000,Honmoon sealed,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--8132880556540411698,Unknown,,positive,0.8126,What if we save movie theaters by regularly releasing new sing-along versions of musicals and turning these spaces into glorious cinematic karaoke palaces?,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--716712458451276314,Unknown,,negative,-0.6597,"boygroups being the root of all evil, correct",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--1015293296627822133,Unknown,,positive,0.3724,"I have now listened to this soundtrack down & back at least 100 times (90% due to my daughter, 10% due to me). It fucking rocks, and I’m not ashamed of it. CAN I GET THE MIC A LITTLE HIGHERRRRRR",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--1194910958124594778,Unknown,,negative,-0.2732,Unfortunately the Saja Boys will be going on a hiatus due to the country's mandatory military service,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--7727515014025423260,Unknown,,negative,-0.7717,Unrealistic there was zero death threats.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf--5911260674584506004,Unknown,,positive,0.9238,"♫⋆｡ We broke into a million pieces, and we can't go back
But now we're seeing all the beauty in the broken glass
The scars are part of me, darkness and harmony
My voice without the lies, this is what it sounds like
Why did we cover up the colors stuck inside our head?
Get up and let the jagged edges meet the light instead
Show me what's underneath, I'll find your harmony
Fearless and undefined, this is what it…
more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/10/
rf-6323947388902587921,Unknown,,positive,0.9763,"❤️‍🔥77%
🔙Spider-Man ITSV🔙 
🔜Spider-Man ATSV🔜 
This had no reason being as good as it was. I’m quite clearly not the target audience but I can appreciate good animation when I see it, plus I’ll always listen to a recommendation; so thanks Ben Stuart for that. 
KPop Demon Hunters by Sony Animations if not anything else is great eye candy, sure that could be meant in a multitude of ways. But for me personally, I’m talking about the dazzling visuals, flaunting… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-281374458923377005,Unknown,,positive,0.9686,"10/10
So yeah this probably isn’t the best SPA film objectively but it is my favorite and so far my personal favorite of the year. I was really excited for this film since the trailer dropped about a month ago. But this film just really spoke to me. I loved the music they’re all gonna be in my head for awhile. The characters just made me smile, I even cried a bit near the end, since the movie literally just… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf--4642378104642412783,Unknown,,neutral,0.0000,"i didn’t get on the first time but on the third, i got it",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-2178047964609443783,Unknown,,positive,0.6187,"A gimmicky title that absolutely dedicates itself to its premise. It's animation is top tier, the girls are funny and expressive, the lore is interesting, I wish it had gone a bit further and the lyrics are often very blunt but girl band demon hunters vs boy band demons with songs and moves to match? Aces.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf--8906052448653422021,Unknown,,positive,0.9177,"It's crazy how this movie gave us 3 of the catchiest songs of the year. I'm talking about 'golden', 'soda pop' and 'how it's done'! The soundtrack is pop perfection and the movie is absolutely amazing!! Thank you netflix <3",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-3086244708904653649,Unknown,,positive,0.7913,"♫⋆｡ Knocking you out like a lullaby
Hear that sound ringing in your mind
Better sit down for the show
'Cause I'm gonna show you how it's done, done, done!
Huntrix don't miss
How it's done, done, done!
Huntrix don't quit
How it's done, done, done!
Run, run, we run the town
Whole world playin' our sound
Turnin' up, it's goin' down
Huntrix show this, how it's done, done, done! ♬ ﾟ.
Rewatched this with the person i owe my… more",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf--2159468955625469596,Unknown,,negative,-0.3553,"This probably hit so hard if you're a 13 year old
girl into kpop and I'd be lying if I said I didn't have a good time as well so I've got to respect it.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-4482659714665237969,Unknown,,positive,0.4660,Mira ate Zoey's eyeball popcorn.... Isn't that technically gore of my comfort character???,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-2631731444430694195,Unknown,,positive,0.8306,"Very excited that this is a musical with just about every song being great. It’s stunning visually, with the lead characters being very likable. The fight scenes are great, and we all know I love those. There are a few plot holes and pacing problems in the third act, but there’s room for a follow-up. Hopefully, they make one. Sony Pictures Animation is so cool! Ugh, these songs are stuck in my head",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-3077987650459924923,Unknown,,negative,-0.4229,"feel like such a fucking freak for watching this so late, like it’s kind of become socially unacceptable. but soooo good, no wonder the 10 year olds are losing their minds over this",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/11/
rf-293113129836754938,Unknown,,negative,-0.6908,gonna kill myself (in maplestory/genshin impact/valorant),https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/12/
rf--1192748833898729432,Unknown,,positive,0.6597,"have i watched this 4 times in the past 24 hours? yes, yes i have.",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/12/
rf--7712782315804248369,Unknown,,negative,-0.4939,this film changed the trajectory of my spotify wrapped i fear,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/12/
rf-6975166078129394470,Unknown,,neutral,0.0000,my little pony: equestria girls - rainbow rocks's impact on cinema must be studied,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/12/
